step,mloss,gloss,loss
13700.0,0.7283,0.3403,1.0686
13800.0,0.7246,0.3452,1.0698
13900.0,0.7275,0.342,1.0695000000000001
14000.0,0.7214,0.3387,1.0601
14100.0,0.7289,0.3435,1.0724
14200.0,0.7257,0.3386,1.0643
14300.0,0.7286,0.3409,1.0695000000000001
14400.0,0.7256,0.3425,1.0681
14500.0,0.7258,0.3391,1.0649
14600.0,0.7339,0.339,1.0729
14700.0,0.7245,0.3399,1.0644
14800.0,0.7236,0.338,1.0616
14900.0,0.7249,0.339,1.0639
15000.0,0.7249,0.3385,1.0634000000000001
15100.0,0.7244,0.3363,1.0607
15200.0,0.7227,0.3393,1.062
15300.0,0.7253,0.3378,1.0631
15400.0,0.7283,0.337,1.0653
15500.0,0.7236,0.3361,1.0597
15600.0,0.7256,0.3368,1.0624
15700.0,0.7235,0.3366,1.0601
15800.0,0.723,0.3328,1.0558
15900.0,0.7256,0.3355,1.0611000000000002
16000.0,0.726,0.3334,1.0594
16100.0,0.7277,0.3373,1.065
16200.0,0.7255,0.3356,1.0611000000000002
16300.0,0.7259,0.3341,1.06
16400.0,0.723,0.3338,1.0568
16500.0,0.7209,0.3335,1.0544
16600.0,0.7271,0.3321,1.0592
16700.0,0.7267,0.3315,1.0582
16800.0,0.7238,0.334,1.0578
16900.0,0.7227,0.3323,1.055
17000.0,0.7244,0.3319,1.0563
17100.0,0.7249,0.3322,1.0571
17200.0,0.7278,0.3316,1.0594000000000001
17300.0,0.7258,0.33,1.0558
17400.0,0.7249,0.3322,1.0571
17500.0,0.7201,0.33,1.0501
17600.0,0.7225,0.3316,1.0541
17700.0,0.7273,0.3284,1.0556999999999999
17800.0,0.7221,0.3305,1.0526
17900.0,0.7218,0.3303,1.0521
18000.0,0.7222,0.3304,1.0526
18100.0,0.7237,0.3275,1.0512000000000001
18200.0,0.7281,0.3298,1.0579
18300.0,0.727,0.3259,1.0529
18400.0,0.7243,0.3274,1.0517
18500.0,0.7198,0.3277,1.0474999999999999
18600.0,0.7209,0.3276,1.0485
18700.0,0.72,0.328,1.048
18800.0,0.7229,0.3288,1.0516999999999999
18900.0,0.719,0.3256,1.0446
19000.0,0.7143,0.3249,1.0392000000000001
19100.0,0.717,0.3253,1.0423
19200.0,0.7254,0.3262,1.0516
19300.0,0.7245,0.3281,1.0526
19400.0,0.7213,0.3248,1.0461
19500.0,0.7229,0.3258,1.0487
19600.0,0.7253,0.3236,1.0489
19700.0,0.7199,0.3247,1.0446
19800.0,0.7219,0.3265,1.0484
19900.0,0.7174,0.3253,1.0427
20000.0,0.7203,0.3232,1.0435
20100.0,0.7214,0.3249,1.0463
20200.0,0.7183,0.3253,1.0436
20300.0,0.7238,0.3233,1.0471
20400.0,0.7162,0.3236,1.0398
20500.0,0.7192,0.3237,1.0429
20600.0,0.7207,0.3218,1.0425
20700.0,0.7212,0.322,1.0432
20800.0,0.7182,0.3221,1.0403
20900.0,0.7173,0.3218,1.0391
21000.0,0.7172,0.3214,1.0386
21100.0,0.72,0.3215,1.0415
21200.0,0.7193,0.3215,1.0408
21300.0,0.7181,0.3212,1.0393
21400.0,0.7214,0.32,1.0414
21500.0,0.7193,0.3212,1.0405
21600.0,0.7168,0.32,1.0368
21700.0,0.7139,0.3208,1.0347
21800.0,0.7207,0.3194,1.0401
21900.0,0.7238,0.3201,1.0439
22000.0,0.7201,0.3206,1.0407
22100.0,0.7188,0.3188,1.0375999999999999
22200.0,0.7155,0.3191,1.0346
22300.0,0.7174,0.3198,1.0372
22400.0,0.7164,0.32,1.0364
22500.0,0.7189,0.3193,1.0382
22600.0,0.7188,0.3186,1.0373999999999999
22700.0,0.7215,0.318,1.0395
22800.0,0.7194,0.3181,1.0375
22900.0,0.7189,0.32,1.0389
23000.0,0.716,0.3171,1.0331
23100.0,0.7181,0.3172,1.0352999999999999
23200.0,0.7166,0.3172,1.0338
23300.0,0.7238,0.3176,1.0413999999999999
23400.0,0.7136,0.3181,1.0317
23500.0,0.7154,0.3161,1.0315
23600.0,0.7229,0.3176,1.0405
23700.0,0.723,0.3167,1.0396999999999998
23800.0,0.7173,0.3171,1.0344
23900.0,0.7184,0.3171,1.0355
24000.0,0.7222,0.3171,1.0393
24100.0,0.7166,0.3166,1.0332
24200.0,0.7168,0.3176,1.0344
24300.0,0.7207,0.3164,1.0371000000000001
24400.0,0.7183,0.3152,1.0335
24500.0,0.7152,0.3146,1.0297999999999998
24600.0,0.7193,0.3161,1.0354
24700.0,0.7129,0.3148,1.0277
24800.0,0.7169,0.3156,1.0325
24900.0,0.7179,0.3143,1.0322
25000.0,0.7145,0.314,1.0285
25100.0,0.7162,0.3153,1.0314999999999999
25200.0,0.7148,0.3149,1.0297
25300.0,0.7135,0.3133,1.0268000000000002
25400.0,0.7149,0.3149,1.0298
25500.0,0.7192,0.3132,1.0324
25600.0,0.7169,0.313,1.0299
25700.0,0.7156,0.3135,1.0291000000000001
25800.0,0.7074,0.3131,1.0205
25900.0,0.7143,0.3136,1.0279
26000.0,0.7138,0.3132,1.027
26100.0,0.7136,0.314,1.0276
26200.0,0.7153,0.3126,1.0279
26300.0,0.7162,0.3131,1.0292999999999999
26400.0,0.7146,0.3126,1.0272000000000001
26500.0,0.7133,0.3139,1.0272000000000001
26600.0,0.7149,0.3129,1.0278
26700.0,0.7125,0.3125,1.025
26800.0,0.7145,0.3126,1.0271
26900.0,0.7127,0.3132,1.0259
27000.0,0.7106,0.3123,1.0229
27100.0,0.7172,0.312,1.0292
27200.0,0.713,0.3118,1.0248
27300.0,0.7114,0.3116,1.0230000000000001
27400.0,0.7088,0.312,1.0208
27500.0,0.7157,0.3122,1.0279
27600.0,0.7143,0.3107,1.025
27700.0,0.7163,0.3126,1.0289000000000001
27800.0,0.7168,0.3113,1.0281
27900.0,0.7106,0.3109,1.0215
28000.0,0.7163,0.3109,1.0272000000000001
28100.0,0.7132,0.3114,1.0246
28200.0,0.7152,0.3106,1.0257999999999998
28300.0,0.7117,0.3117,1.0234
28400.0,0.71,0.3108,1.0208
28500.0,0.7091,0.3102,1.0192999999999999
28600.0,0.7165,0.31,1.0265
28700.0,0.7169,0.3103,1.0272000000000001
28800.0,0.7142,0.3097,1.0238999999999998
28900.0,0.7148,0.3114,1.0262
29000.0,0.7163,0.3106,1.0269
29100.0,0.7171,0.3105,1.0276
29200.0,0.7145,0.3101,1.0246
29300.0,0.7128,0.3101,1.0229
29400.0,0.7152,0.3096,1.0248
29500.0,0.7122,0.31,1.0222
29600.0,0.7088,0.3096,1.0184
29700.0,0.7137,0.3103,1.024
29800.0,0.7126,0.3096,1.0222
29900.0,0.7211,0.3099,1.031
30000.0,0.7146,0.3099,1.0245
